FirstName,LastName,AddressLine1,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,AveMonthSpend,BikeBuyer,AgeGroup,log_AveMonthSpend,log_Age,log_YearlyIncome
Jon,Yang,3761 N. 14th St,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,4/8/1966,Bachelors ,Professional,M,M,1,0,0,2,137947,31,89,0,25-45,4.48863637,3.433987204,11.83462483
Eugene,Huang,2243 W St.,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,5/14/1965,Bachelors ,Professional,M,S,0,1,3,3,101141,32,117,1,25-45,4.762173935,3.465735903,11.52427086
Ruben,Torres,5844 Linden Land,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,8/12/1965,Bachelors ,Professional,M,M,1,1,3,3,91945,32,123,0,25-45,4.812184355,3.465735903,11.42894585
Christy,Zhu,1825 Village Pl.,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,2/15/1968,Bachelors ,Professional,F,S,0,1,0,0,86688,29,50,0,25-45,3.912023005,3.36729583,11.37007074
Elizabeth,Johnson,7553 Harness Circle,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,8/8/1968,Bachelors ,Professional,F,S,1,4,5,5,92771,29,95,1,25-45,4.553876892,3.36729583,11.43788937
Julio,Ruiz,7305 Humphrey Drive,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,8/5/1965,Bachelors ,Professional,M,S,1,1,0,0,103199,32,78,1,25-45,4.356708827,3.465735903,11.54441444
Janet,Alvarez,2612 Berry Dr,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,12/6/1965,Bachelors ,Professional,F,S,1,1,0,0,84756,32,54,1,25-45,3.988984047,3.465735903,11.34753182
Marco,Mehta,942 Brook Street,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,5/9/1964,Bachelors ,Professional,M,M,1,2,3,3,109759,33,130,1,25-45,4.86753445,3.496507561,11.60604233
Rob,Verhoff,624 Peabody Road,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,7/7/1964,Bachelors ,Professional,F,S,1,3,4,4,88005,33,85,1,25-45,4.442651256,3.496507561,11.38514891
Shannon,Carlson,3839 Northgate Road,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,4/1/1964,Bachelors ,Professional,M,S,0,1,0,0,106399,33,74,0,25-45,4.304065093,3.496507561,11.57495146
Jacquelyn,Suarez,7800 Corrinne Court,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,2/6/1964,Bachelors ,Professional,F,S,0,1,0,0,81294,33,49,0,25-45,3.891820298,3.496507561,11.30582749
